Libellé fédération;Code fédération;lic-data-2023;clubs-data-2023
FF d'Athlétisme;101;;
FF d'Aviron;102;;
FF de Badminton;103;;
FF de Basketball;105;;
FF de Boxe;106;;
FF de Canoë-Kayak et Sports de Pagaie;107;;
FF de Cyclisme;108;;
FF d'Équitation;109;;
FF d'Escrime;110;;
FF de Football;111;;
FF des Sports de Glace;112;;
FF de Gymnastique;113;;
FF d'Haltérophilie, Musculation;114;;
FF de Handball;115;;
FF de Hockey;116;;
FF de Judo, Jujitsu, Kendo et DA;117;;
FF de Lutte;118;;
FF de Natation;119;;
FF de Pentathlon Moderne;120;;
FF de Ski;121;;
FF de Taekwondo et DA;122;;
FF de Tennis;123;;
FF de Tennis de Table;124;;
FF de Tir;125;;
FF de Tir à l'Arc;126;;
FF de Triathlon et Disciplines Enchainées;127;;
FF de Voile;128;;
FF de Volley;129;;
FF de Hockey sur Glace;131;;
FF de Golf;132;;
FF de Rugby;133;;
FF de la Montagne et de l'Escalade;135;;
FF de Roller et Skateboard;136;;
FF de Surf;137;;
FF de Baseball, Softball;138;;
FF de Danse;139;;
FF de Football Américain;140;;
FF de Squash;141;;
FF d'Aéromodélisme;201;;
FF Aéronautique;202;;
FF d'Aérostation;203;;
FF d'Aïkido, d'Aïkibudo et Affinitaires;204;;
FF d'Aïkido et de Budo;205;;
FF du Sport Automobile;206;;
FF de Jeu de Balle au Tambourin;207;;
FF de Ballon au Poing;208;;
FF de Ball-Trap;209;;
FF de Billard;210;;
FF du Sport Boules;211;;
FF de Savate, Boxe Française et DA;212;;
FF de Bowling et de Sport de Quilles;213;;
FF de Char à Voile;214;;
FF de Course Camarguaise;215;;
FF de la Course Landaise;216;;
FF de Course d'Orientation;217;;
FF de Cyclotourisme;218;;
FF des Échecs;220;;
FF d'Études et Sports Sous-Marins;221;;
FF d’hélicoptère;224;;
FF de Javelot Tir sur Cible;226;;
FF de Jeu de Paume;227;;
FF de Joute et Sauvetage Nautique;228;;
FF de Karaté et DA;229;;
FF de Longue Paume;231;;
FF de Motocyclisme;233;;
FF Motonautique;234;;
FF de Parachutisme;237;;
FF de Pelote Basque;241;;
FF de Pétanque et Jeu Provençal;242;;
FF de Planeur Ultraléger Motorisé;243;;
FF de Pulka et Traineau à Chiens;244;;
FF de la Randonnée Pédestre;245;;
FF de Rugby à XIII;248;;
FF de Sauvetage et de Secourisme;249;;
FF de Ski Nautique et de Wakeboard;250;;
FF de Spéléologie;251;;
F des Arts Énergétiques et Martiaux Chinois;254;;
FF des Sports de Traîneau, de Ski VTT Joëring et de Canicross;255;;
FF Sportive de Twirling Bâton;256;;
FF de Vol en Planeur;257;;
FF de Vol Libre;258;;
FF de Polo;260;;
FF de Kick Boxing, Muay Thaï et DA;261;;
F de Double Dutch;263;;
FF de Flying Disc;264;;
FF de Pêche Sportive en Apnée;265;;
FF de Force;266;;
FF des Pêches Sportives;267;;
F de Boxe Américaine et DA;268;;
F de Voitures Radio Commandées;269;;
FF des Sports et Loisirs Canins;270;;
FF des Clubs Alpins et de Montagne;271;;
FF d'Éducation Physique et de Gymnastique Volontaire;402;;
FF Sports Pour Tous;403;;
FF de la Retraite Sportive;404;;
FF du Sport Travailliste;405;;
F des Clubs de la Défense;406;n.r.;n.r.
F Nationale du Sport en Milieu Rural;407;;
F Sportive et Culturelle de France;408;;
FF Maccabi;409;n.r.;n.r.
F Sportive et Gymnique du Travail;410;;
F Sportive de la Police Nationale;411;n.r.;n.r.
Union Française des Œuvres Laïques d'Éducation Physique (UFOLEP);413;;
FF Omnisports des Personnels de l'Éducation Nationale;415;;
Union Nationale Sportive Léo Lagrange;417;;
FF du Sport d'Entreprise;418;;
F Sportive des ASPTT;420;;
FF des Sports Populaires;421;Pas de licences;
FF des Clubs Omnisports;422;;
F Nationale des Offices Municipaux des Sports;423;Pas de licences;
UCPA Sport Loisirs;424;;
UCPA Sport Vacances;425;;n.r.
F Sportive LGBT+;426;Pas de licences;
FF Handisport;501;;
FF du Sport Adapté;503;;
FF du Sport Universitaire;601;;
F Sportive Educative de l'Enseignement Catholique (UGSEL);602;;
Union Nationale des Clubs Universitaires;603;;
Union Nationale du Sport Scolaire (UNSS);604;Adr. Club;
Union Sportive de l'Enseignement du Premier Degré;605;Adr. Club;
;;;
"""Blanc"" : données présentes dans la base en question (licences ou clubs)";;;
n.d. : Données non disponibles (Pas de données transmises);;;
n.r.: Données non réparties par commune-QPV (Répartition par département) du fait d'une moindre qualité des adresses transmises ou pour protéger les données de fédérations sensibles.;;;
Adr. Club : Les adresses des licences sont celles du club ou du lieu de pratique et non celles des licenciés ;;;
F: Fédération;;;
FF: Fédération Française;;;
DA: Disciplines Associées;;;
